"Step","cogs/curr_chia_htl_10 - validation/gen/accuracy/total","cogs/curr_chia_htl_10 - validation/gen/accuracy/total__MIN","cogs/curr_chia_htl_10 - validation/gen/accuracy/total__MAX","cogs/curr_chia_etl_10 - validation/gen/accuracy/total","cogs/curr_chia_etl_10 - validation/gen/accuracy/total__MIN","cogs/curr_chia_etl_10 - validation/gen/accuracy/total__MAX","cogs/curr_chia_amb_10 - validation/gen/accuracy/total","cogs/curr_chia_amb_10 - validation/gen/accuracy/total__MIN","cogs/curr_chia_amb_10 - validation/gen/accuracy/total__MAX","cogs_full_42 - validation/gen/accuracy/total","cogs_full_42 - validation/gen/accuracy/total__MIN","cogs_full_42 - validation/gen/accuracy/total__MAX","curr/cogs/inv_ppl_amb_10 - validation/gen/accuracy/total","curr/cogs/inv_ppl_amb_10 - validation/gen/accuracy/total__MIN","curr/cogs/inv_ppl_amb_10 - validation/gen/accuracy/total__MAX","curr/cogs/inv_ppl_htl_10 - validation/gen/accuracy/total","curr/cogs/inv_ppl_htl_10 - validation/gen/accuracy/total__MIN","curr/cogs/inv_ppl_htl_10 - validation/gen/accuracy/total__MAX","curr/cogs/inv_ppl_etl_10 - validation/gen/accuracy/total","curr/cogs/inv_ppl_etl_10 - validation/gen/accuracy/total__MIN","curr/cogs/inv_ppl_etl_10 - validation/gen/accuracy/total__MAX","curr/cogs/bleu_htl_10 - validation/gen/accuracy/total","curr/cogs/bleu_htl_10 - validation/gen/accuracy/total__MIN","curr/cogs/bleu_htl_10 - validation/gen/accuracy/total__MAX","curr/cogs/bleu_amb_10 - validation/gen/accuracy/total","curr/cogs/bleu_amb_10 - validation/gen/accuracy/total__MIN","curr/cogs/bleu_amb_10 - validation/gen/accuracy/total__MAX","curr/cogs/bleu_etl_10 - validation/gen/accuracy/total","curr/cogs/bleu_etl_10 - validation/gen/accuracy/total__MIN","curr/cogs/bleu_etl_10 - validation/gen/accuracy/total__MAX"
"31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"64","0","0","0","0","0","0","0.00009523809523809524","0.00009523809523809524","0.00009523809523809524","0","0","0","0","0","0","0.0005238095238095238","0.0005238095238095238","0.0005238095238095238","0","0","0","0.00042857142857142855","0.00042857142857142855","0.00042857142857142855","0","0","0","0","0","0"
"96","0.00004761904761904762","0.00004761904761904762","0.00004761904761904762","0","0","0","0.0008571428571428571","0.0008571428571428571","0.0008571428571428571","0","0","0","0","0","0","0.0015238095238095239","0.0015238095238095239","0.0015238095238095239","0","0","0","0.0020476190476190477","0.0020476190476190477","0.0020476190476190477","0.00019047619047619048","0.00019047619047619048","0.00019047619047619048","0","0","0"
"129","0.00028571428571428574","0.00028571428571428574","0.00028571428571428574","0","0","0","0.0002380952380952381","0.0002380952380952381","0.0002380952380952381","0","0","0","0","0","0","0.005857142857142857","0.005857142857142857","0.005857142857142857","0","0","0","0.003857142857142857","0.003857142857142857","0.003857142857142857","0.00019047619047619048","0.00019047619047619048","0.00019047619047619048","0","0","0"
"162","0.0020952380952380953","0.0020952380952380953","0.0020952380952380953","0","0","0","0.004380952380952381","0.004380952380952381","0.004380952380952381","0.0024285714285714284","0.0024285714285714284","0.0024285714285714284","0","0","0","0.008714285714285714","0.008714285714285714","0.008714285714285714","0","0","0","0.02919047619047619","0.02919047619047619","0.02919047619047619","0.0006666666666666666","0.0006666666666666666","0.0006666666666666666","0","0","0"
"194","0.01380952380952381","0.01380952380952381","0.01380952380952381","0","0","0","0.010619047619047618","0.010619047619047618","0.010619047619047618","0.020285714285714285","0.020285714285714285","0.020285714285714285","0","0","0","0.015904761904761904","0.015904761904761904","0.015904761904761904","0","0","0","0.06076190476190476","0.06076190476190476","0.06076190476190476","0.004952380952380952","0.004952380952380952","0.004952380952380952","0","0","0"
"227","0.018952380952380953","0.018952380952380953","0.018952380952380953","0","0","0","0.007571428571428572","0.007571428571428572","0.007571428571428572","0.09642857142857143","0.09642857142857143","0.09642857142857143","0","0","0","0.03042857142857143","0.03042857142857143","0.03042857142857143","0","0","0","0.09195238095238095","0.09195238095238095","0.09195238095238095","0.007619047619047619","0.007619047619047619","0.007619047619047619","0","0","0"
"260","0.028047619047619047","0.028047619047619047","0.028047619047619047","0","0","0","0.011904761904761904","0.011904761904761904","0.011904761904761904","0.07395238095238095","0.07395238095238095","0.07395238095238095","0","0","0","0.03571428571428571","0.03571428571428571","0.03571428571428571","0","0","0","0.07680952380952381","0.07680952380952381","0.07680952380952381","0.0058095238095238096","0.0058095238095238096","0.0058095238095238096","0","0","0"
"292","0.033857142857142856","0.033857142857142856","0.033857142857142856","0","0","0","0.01661904761904762","0.01661904761904762","0.01661904761904762","0.12857142857142856","0.12857142857142856","0.12857142857142856","0","0","0","0.07971428571428571","0.07971428571428571","0.07971428571428571","0","0","0","0.11752380952380953","0.11752380952380953","0.11752380952380953","0.02038095238095238","0.02038095238095238","0.02038095238095238","0","0","0"
"325","0.058761904761904765","0.058761904761904765","0.058761904761904765","0","0","0","0.02542857142857143","0.02542857142857143","0.02542857142857143","0.11885714285714286","0.11885714285714286","0.11885714285714286","0","0","0","0.08576190476190476","0.08576190476190476","0.08576190476190476","0","0","0","0.18166666666666667","0.18166666666666667","0.18166666666666667","0.03642857142857143","0.03642857142857143","0.03642857142857143","0","0","0"
"358","0.060809523809523806","0.060809523809523806","0.060809523809523806","0","0","0","0.019285714285714285","0.019285714285714285","0.019285714285714285","0.12485714285714286","0.12485714285714286","0.12485714285714286","0","0","0","0.1221904761904762","0.1221904761904762","0.1221904761904762","0","0","0","0.18738095238095237","0.18738095238095237","0.18738095238095237","0.033761904761904764","0.033761904761904764","0.033761904761904764","0","0","0"
"390","0.06357142857142857","0.06357142857142857","0.06357142857142857","0","0","0","0.03695238095238095","0.03695238095238095","0.03695238095238095","0.14409523809523808","0.14409523809523808","0.14409523809523808","0","0","0","0.18585714285714286","0.18585714285714286","0.18585714285714286","0","0","0","0.22471428571428573","0.22471428571428573","0.22471428571428573","0.07171428571428572","0.07171428571428572","0.07171428571428572","0","0","0"
"423","0.04690476190476191","0.04690476190476191","0.04690476190476191","0","0","0","0.03133333333333333","0.03133333333333333","0.03133333333333333","0.2009047619047619","0.2009047619047619","0.2009047619047619","0","0","0","0.18223809523809523","0.18223809523809523","0.18223809523809523","0","0","0","0.19938095238095238","0.19938095238095238","0.19938095238095238","0.06542857142857143","0.06542857142857143","0.06542857142857143","0","0","0"
"456","0.23166666666666666","0.23166666666666666","0.23166666666666666","0","0","0","0.03671428571428571","0.03671428571428571","0.03671428571428571","0.21442857142857144","0.21442857142857144","0.21442857142857144","0","0","0","0.17338095238095239","0.17338095238095239","0.17338095238095239","0","0","0","0.26033333333333336","0.26033333333333336","0.26033333333333336","0.09804761904761905","0.09804761904761905","0.09804761904761905","0","0","0"
"488","0.21433333333333332","0.21433333333333332","0.21433333333333332","0","0","0","0.05647619047619048","0.05647619047619048","0.05647619047619048","0.1941904761904762","0.1941904761904762","0.1941904761904762","0","0","0","0.23495238095238094","0.23495238095238094","0.23495238095238094","0","0","0","0.30633333333333335","0.30633333333333335","0.30633333333333335","0.13352380952380952","0.13352380952380952","0.13352380952380952","0","0","0"
"521","0.21661904761904763","0.21661904761904763","0.21661904761904763","0","0","0","0.07895238095238095","0.07895238095238095","0.07895238095238095","0.20885714285714285","0.20885714285714285","0.20885714285714285","0","0","0","0.22333333333333333","0.22333333333333333","0.22333333333333333","0","0","0","0.2660952380952381","0.2660952380952381","0.2660952380952381","0.08861904761904763","0.08861904761904763","0.08861904761904763","0","0","0"
"553","0.21757142857142858","0.21757142857142858","0.21757142857142858","0","0","0","0.07609523809523809","0.07609523809523809","0.07609523809523809","0.21895238095238095","0.21895238095238095","0.21895238095238095","0","0","0","0.2229047619047619","0.2229047619047619","0.2229047619047619","0","0","0","0.2929047619047619","0.2929047619047619","0.2929047619047619","0.12133333333333333","0.12133333333333333","0.12133333333333333","0","0","0"
"586","0.25633333333333336","0.25633333333333336","0.25633333333333336","0","0","0","0.06442857142857143","0.06442857142857143","0.06442857142857143","0.2517142857142857","0.2517142857142857","0.2517142857142857","0","0","0","0.2822857142857143","0.2822857142857143","0.2822857142857143","0","0","0","0.31747619047619047","0.31747619047619047","0.31747619047619047","0.1356190476190476","0.1356190476190476","0.1356190476190476","0","0","0"
"619","0.21376190476190476","0.21376190476190476","0.21376190476190476","0","0","0","0.1799047619047619","0.1799047619047619","0.1799047619047619","0.22376190476190477","0.22376190476190477","0.22376190476190477","0.00009523809523809524","0.00009523809523809524","0.00009523809523809524","0.21880952380952381","0.21880952380952381","0.21880952380952381","0","0","0","0.3426190476190476","0.3426190476190476","0.3426190476190476","0.12623809523809523","0.12623809523809523","0.12623809523809523","0","0","0"
"651","0.27576190476190476","0.27576190476190476","0.27576190476190476","0","0","0","0.17014285714285715","0.17014285714285715","0.17014285714285715","0.3038571428571429","0.3038571428571429","0.3038571428571429","0.00028571428571428574","0.00028571428571428574","0.00028571428571428574","0.2358095238095238","0.2358095238095238","0.2358095238095238","0","0","0","0.35119047619047616","0.35119047619047616","0.35119047619047616","0.16257142857142856","0.16257142857142856","0.16257142857142856","0","0","0"
"684","0.25485714285714284","0.25485714285714284","0.25485714285714284","0","0","0","0.1729047619047619","0.1729047619047619","0.1729047619047619","0.38752380952380955","0.38752380952380955","0.38752380952380955","0","0","0","0.2858095238095238","0.2858095238095238","0.2858095238095238","0","0","0","0.33085714285714285","0.33085714285714285","0.33085714285714285","0.1461904761904762","0.1461904761904762","0.1461904761904762","0","0","0"
"717","0.2618095238095238","0.2618095238095238","0.2618095238095238","0","0","0","0.2256190476190476","0.2256190476190476","0.2256190476190476","0.3535238095238095","0.3535238095238095","0.3535238095238095","0.0007142857142857143","0.0007142857142857143","0.0007142857142857143","0.2352857142857143","0.2352857142857143","0.2352857142857143","0","0","0","0.32576190476190475","0.32576190476190475","0.32576190476190475","0.15314285714285714","0.15314285714285714","0.15314285714285714","0","0","0"
"749","0.2758095238095238","0.2758095238095238","0.2758095238095238","0.001","0.001","0.001","0.24423809523809523","0.24423809523809523","0.24423809523809523","0.3127142857142857","0.3127142857142857","0.3127142857142857","0.004428571428571428","0.004428571428571428","0.004428571428571428","0.22147619047619047","0.22147619047619047","0.22147619047619047","0","0","0","0.38957142857142857","0.38957142857142857","0.38957142857142857","0.1778095238095238","0.1778095238095238","0.1778095238095238","0.0003333333333333333","0.0003333333333333333","0.0003333333333333333"
"782","0.38966666666666666","0.38966666666666666","0.38966666666666666","0.030571428571428572","0.030571428571428572","0.030571428571428572","0.2907142857142857","0.2907142857142857","0.2907142857142857","0.367952380952381","0.367952380952381","0.367952380952381","0.052571428571428575","0.052571428571428575","0.052571428571428575","0.2300952380952381","0.2300952380952381","0.2300952380952381","0.01685714285714286","0.01685714285714286","0.01685714285714286","0.35938095238095236","0.35938095238095236","0.35938095238095236","0.17676190476190476","0.17676190476190476","0.17676190476190476","0.038047619047619045","0.038047619047619045","0.038047619047619045"
"815","0.28314285714285714","0.28314285714285714","0.28314285714285714","0.14033333333333334","0.14033333333333334","0.14033333333333334","0.2754285714285714","0.2754285714285714","0.2754285714285714","0.35938095238095236","0.35938095238095236","0.35938095238095236","0.14166666666666666","0.14166666666666666","0.14166666666666666","0.2757142857142857","0.2757142857142857","0.2757142857142857","0.03833333333333333","0.03833333333333333","0.03833333333333333","0.4195238095238095","0.4195238095238095","0.4195238095238095","0.2705238095238095","0.2705238095238095","0.2705238095238095","0.0970952380952381","0.0970952380952381","0.0970952380952381"
"847","0.30942857142857144","0.30942857142857144","0.30942857142857144","0.11976190476190476","0.11976190476190476","0.11976190476190476","0.2897142857142857","0.2897142857142857","0.2897142857142857","0.32442857142857146","0.32442857142857146","0.32442857142857146","0.18871428571428572","0.18871428571428572","0.18871428571428572","0.33504761904761904","0.33504761904761904","0.33504761904761904","0.04242857142857143","0.04242857142857143","0.04242857142857143","0.4337142857142857","0.4337142857142857","0.4337142857142857","0.30314285714285716","0.30314285714285716","0.30314285714285716","0.11333333333333333","0.11333333333333333","0.11333333333333333"
"880","0.28323809523809523","0.28323809523809523","0.28323809523809523","0.21033333333333334","0.21033333333333334","0.21033333333333334","0.3456190476190476","0.3456190476190476","0.3456190476190476","0.36652380952380953","0.36652380952380953","0.36652380952380953","0.19504761904761905","0.19504761904761905","0.19504761904761905","0.3241428571428571","0.3241428571428571","0.3241428571428571","0.05942857142857143","0.05942857142857143","0.05942857142857143","0.42714285714285716","0.42714285714285716","0.42714285714285716","0.3455238095238095","0.3455238095238095","0.3455238095238095","0.146","0.146","0.146"
"913","0.3528095238095238","0.3528095238095238","0.3528095238095238","0.19504761904761905","0.19504761904761905","0.19504761904761905","0.32685714285714285","0.32685714285714285","0.32685714285714285","0.3625238095238095","0.3625238095238095","0.3625238095238095","0.22014285714285714","0.22014285714285714","0.22014285714285714","0.32071428571428573","0.32071428571428573","0.32071428571428573","0.08176190476190476","0.08176190476190476","0.08176190476190476","0.3909047619047619","0.3909047619047619","0.3909047619047619","0.25423809523809526","0.25423809523809526","0.25423809523809526","0.13647619047619047","0.13647619047619047","0.13647619047619047"
"945","0.3517619047619048","0.3517619047619048","0.3517619047619048","0.2448095238095238","0.2448095238095238","0.2448095238095238","0.3160952380952381","0.3160952380952381","0.3160952380952381","0.3099047619047619","0.3099047619047619","0.3099047619047619","0.25376190476190474","0.25376190476190474","0.25376190476190474","0.4135238095238095","0.4135238095238095","0.4135238095238095","0.1295238095238095","0.1295238095238095","0.1295238095238095","0.45471428571428574","0.45471428571428574","0.45471428571428574","0.2331904761904762","0.2331904761904762","0.2331904761904762","0.16852380952380952","0.16852380952380952","0.16852380952380952"
"978","0.3811428571428571","0.3811428571428571","0.3811428571428571","0.26766666666666666","0.26766666666666666","0.26766666666666666","0.3471904761904762","0.3471904761904762","0.3471904761904762","0.368","0.368","0.368","0.2700952380952381","0.2700952380952381","0.2700952380952381","0.3892857142857143","0.3892857142857143","0.3892857142857143","0.14242857142857143","0.14242857142857143","0.14242857142857143","0.4280952380952381","0.4280952380952381","0.4280952380952381","0.3523809523809524","0.3523809523809524","0.3523809523809524","0.16047619047619047","0.16047619047619047","0.16047619047619047"